binary_id,sid,cwe,class_count,nearest_cwe,nearest_dist,near_same,exact_same_strict,exact_same_loose,exact_same_marker,other_strict,other_loose,has_token,calls,ptr_sig,body_len,insn_count
BIN_1127912,42526,CWE-588,22,CWE-588,1,11,0,0,0,,,True,globalreturnstrueorfalse|printintline,,82,24
BIN_1128568,39277,CWE-416,186,CWE-416,1,9,1,1,1,,,True,_znwy|_zdlpvy|printstructline,,92,24
BIN_1133138,42128,CWE-563,159,CWE-563,1,14,0,0,0,,,False,printline,,30,10
BIN_1144167,39071,CWE-416,186,CWE-416,2,11,2,2,2,,,True,_znay|_zdapv|printlonglongline,,121,32
BIN_1146999,34997,CWE-377,54,CWE-377,1,11,0,0,0,,,False,mktemp|exit|printline|printline,filename:1|tmpl:0|fileDesc:0,161,41
BIN_1171041,41900,CWE-546,35,CWE-546,1,14,0,0,0,,,False,printline,,41,13
BIN_1176535,48898,CWE-761,150,CWE-761,1,11,0,0,0,,,False,malloc|exit|strlen|fopen|fgets|printline|fclose|printline|free,data:1|dataLen:0|pFile:1,276,77
BIN_1177863,35192,CWE-391,25,CWE-391,1,13,0,0,1,,,False,globalreturnstrue|sqrt|printdoubleline,doubleNumber:0,64,18
BIN_1178590,35848,CWE-400,193,CWE-400,1,9,0,0,0,,,True,fscanf|fopen|exit|fwrite|exit|fclose,,244,60
BIN_1180782,48797,CWE-761,150,CWE-761,1,8,0,0,1,,,False,malloc|exit|strlen|fgets|strlen|printline|printline|free,data:1|dataLen:0,311,88
BIN_1187259,47078,CWE-680,142,CWE-680,1,11,1,1,1,,,True,_zl17staticreturnstruev|memset|atoi|_znay|printintline|_zdapv,,714,147
BIN_1187537,35927,CWE-400,193,CWE-400,1,15,0,1,1,,,False,memset|atoi|printline,count:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0|inputBuffer:0|i:0,618,124
BIN_1199177,46643,CWE-680,142,CWE-680,1,9,0,1,1,,,False,fgets|atoi|printline|malloc|exit|printintline|free,data:0|inputBuffer:0|i:0|intPointer:1,236,61
BIN_1224248,41483,CWE-476,98,CWE-476,1,14,1,1,1,,,False,printintline,data:1,38,14
BIN_1232595,38960,CWE-416,186,CWE-416,1,11,0,0,0,,,False,malloc|exit|free|printlongline,i:0|j:0|data:1|i:0,165,43
BIN_1235146,36089,CWE-400,193,CWE-400,1,10,0,0,0,,,True,rand|rand|rand|rand|rand|rand|rand|printline,count:0|myUnion:0|count:0|i:0,164,50
BIN_1254794,35415,CWE-398,84,CWE-398,2,14,0,0,0,,,False,rand|printline|printline,x:0,97,31
BIN_1260062,45540,CWE-606,118,CWE-606,1,8,0,0,0,,,False,staticreturnstrue|wcslen|memset|wcschr|wcschr|staticreturnstrue|swscanf|printintline,data:1|dataBuffer:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|replace:1|connectSocket:0|dataLen:0|i:0|n:0|intVariable:0,981,167
BIN_1267373,35155,CWE-390,34,CWE-390,1,17,1,1,1,,,False,fopen|fclose,fileDesc:1,74,20
BIN_1278321,35186,CWE-391,25,CWE-391,1,8,0,1,1,,,False,sqrt|printdoubleline,doubleNumber:0,65,18
BIN_1282514,18993,CWE-188,21,CWE-188,1,7,1,1,1,,,False,printintline,unionStructLong:0,43,15
BIN_1285780,39208,CWE-416,186,CWE-416,3,7,2,2,2,,,True,_znwy|_zdlpvy|printlonglongline,,85,23
BIN_1287386,53045,CWE-775,26,CWE-775,1,14,2,2,2,,,False,,data:0,56,16
BIN_1288419,41659,CWE-483,9,CWE-483,1,7,0,1,1,,,False,rand|printline|printline,x:0|y:0,111,33
BIN_1289129,35014,CWE-377,54,CWE-377,1,11,1,1,1,,,False,tempnam|exit|printline|printline|free,filename:1|fileDesc:0,154,41
BIN_1292274,45601,CWE-606,118,CWE-606,2,11,0,0,0,,,False,wcslen|fgetws|wcslen|printline|swscanf|printintline,data:1|dataBuffer:0|dataLen:0|dataCopy:1|data:1|i:0|n:0|intVariable:0,609,113
BIN_1298507,41173,CWE-475,18,CWE-475,1,11,0,1,1,,,False,memcpy|printline,dataBuffer:0|data:1,247,44
BIN_1340195,35782,CWE-400,193,CWE-400,1,10,0,1,1,,,False,fscanf|printline,count:0|i:0,130,34
BIN_1341951,42355,CWE-563,159,CWE-563,1,9,1,1,1,,,False,printintline,data:0,39,12
BIN_1344429,18962,CWE-188,21,CWE-188,1,6,0,1,1,,,False,printintline|printintline,structCharInt:0|charPtr:1,75,23
BIN_1344642,35414,CWE-398,84,CWE-398,1,14,0,0,0,,,False,rand|printline|printline,x:0,97,31
BIN_1363458,49206,CWE-761,150,CWE-761,2,6,0,0,0,,,True,malloc|exit|wcslen|fopen|fgetws|printline|fclose|badsink,data:1|dataLen:0|pFile:1,237,61
BIN_1372809,42442,CWE-563,159,CWE-563,1,12,0,0,0,,,False,printf,data:0,65,19
BIN_1379507,42339,CWE-563,159,CWE-563,2,10,1,1,1,,,False,printlonglongline,data:0,45,14
BIN_1391775,41219,CWE-476,98,CWE-476,1,13,0,2,2,,,False,printline,twoIntsStructPointer:1,65,21
BIN_1394325,39509,CWE-426,45,CWE-426,1,7,0,0,0,,,True,wcscpy|badsink,data:1|dataBuffer:0,297,41
BIN_1395757,49294,CWE-761,150,CWE-761,1,10,0,0,0,,,False,malloc|exit|wcslen|memset|wcschr|wcschr|printline|free,data:1|wsaData:0|wsaDataInit:0|recvResult:0|service:0|replace:1|listenSocket:0|acceptSocket:0|dataLen:0|dataCopy:1|data:1,835,168
BIN_1405014,41472,CWE-476,98,CWE-476,1,15,0,0,2,,,False,printintline,data:1,54,18
BIN_1406433,39839,CWE-427,131,CWE-427,1,8,0,0,0,,,True,wcslen|fgetws|wcslen|printline,,402,90
BIN_1413218,35587,CWE-400,193,CWE-400,1,5,1,2,2,,,False,memset|atoi|printline,count:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|connectSocket:0|inputBuffer:0,447,91
BIN_1415946,39697,CWE-427,131,CWE-427,1,5,0,0,0,,,True,strlen|fopen|fgets|printline|fclose|cwe427_uncontrolled_search_path_element__char_file_41_badsink,data:1|dataBuffer:0|dataLen:0|pFile:1,521,86
BIN_1419662,35132,CWE-390,34,CWE-390,1,16,0,0,0,,,False,printwline|fgetws|printwline,dataBuffer:0|data:1,340,52
BIN_1426123,39219,CWE-416,186,CWE-416,2,7,0,0,0,,,True,globalreturnstrueorfalse|_znwy|_zdlpvy|_znwy|globalreturnstrueorfalse|printlonglongline,,140,39
BIN_1440075,52951,CWE-773,20,CWE-773,1,12,0,0,0,,,False,,data:0,109,29
BIN_1447241,39396,CWE-426,45,CWE-426,1,13,0,0,0,,,False,globalreturnstrueorfalse|system|printline|exit,data:1|dataBuffer:0,281,51
BIN_1454105,35552,CWE-400,193,CWE-400,1,13,0,1,1,,,False,memset|atoi|fopen|exit|fwrite|exit|fclose,count:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|connectSocket:0|inputBuffer:0|i:0|pFile:1|filename:1,617,122
BIN_1467530,39387,CWE-426,45,CWE-426,1,6,1,1,1,,,False,system|printline|exit,data:1|dataBuffer:0,204,37
BIN_1467776,47234,CWE-685,8,CWE-685,1,9,0,0,0,,,False,sprintf|printline,dest:0,76,20
BIN_1485513,35889,CWE-400,193,CWE-400,1,13,1,1,1,,,False,fscanf|printline,count:0,92,26
BIN_1485586,45498,CWE-606,118,CWE-606,1,16,1,1,1,,,False,strlen|memset|strchr|strchr|sscanf|printintline,data:1|dataBuffer:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|replace:1|listenSocket:0|acceptSocket:0|dataLen:0|i:0|n:0|intVariable:0,956,177
BIN_1493520,39739,CWE-427,131,CWE-427,1,12,0,0,0,,,False,badsource,data:1|dataBuffer:0,363,52
BIN_1502371,413,CWE-135,24,CWE-135,1,11,0,1,1,,,False,strlen|___chkstk_ms|wcscpy|printline,data:1|dataLen:0|dest:1,149,40
BIN_1512730,18977,CWE-188,21,CWE-188,1,9,0,1,1,,,False,printintline,unionStructLong:0,42,14
BIN_1528226,42531,CWE-588,22,CWE-588,2,9,0,0,0,,,True,printintline,,77,21
BIN_1528467,35593,CWE-400,193,CWE-400,4,8,0,0,1,,,False,staticreturnstrue|memset|atoi|staticreturnstrue|printline,count:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|connectSocket:0|inputBuffer:0,469,97
BIN_1543925,39747,CWE-427,131,CWE-427,1,9,0,0,0,,,True,_zn62cwe427_uncontrolled_search_path_element__char_listen_socket_43l9badsourceerpc,,346,50
BIN_1545363,47075,CWE-680,142,CWE-680,1,10,0,0,0,,,True,memset|atoi|_znay|printintline|_zdapv,,710,145
BIN_1549854,35386,CWE-398,84,CWE-398,1,11,0,0,0,,,False,printline,i:0,59,18
BIN_1553949,10930,CWE-123,43,CWE-123,2,11,0,0,0,,,False,fgets|printline|exit,i:0|data:0|head:0,206,50
BIN_1557835,10972,CWE-123,43,CWE-123,1,11,1,2,2,,,False,globalreturnstrue|memset,data:0|head:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0,621,120
BIN_1559628,35750,CWE-400,193,CWE-400,2,12,0,0,0,,,False,fgets|atoi|printline|printline,count:0|inputBuffer:0|countCopy:0|count:0,153,40
BIN_1568092,46543,CWE-675,31,CWE-675,2,15,0,0,0,,,False,badsink,data:0,89,23
BIN_1592688,45453,CWE-606,118,CWE-606,1,17,0,0,0,,,False,strlen|fopen|fgets|printline|fclose|sscanf|printintline,i:0|j:0|data:1|dataBuffer:0|dataLen:0|pFile:1|i:0|n:0|intVariable:0,418,92
BIN_1593911,41022,CWE-464,10,CWE-464,1,6,0,0,0,,,True,getc|atoi|badsink,data:0|charArraySource:0,78,22
BIN_1596625,42330,CWE-563,159,CWE-563,1,9,0,1,1,,,False,printlonglongline,data:0,63,18
BIN_1599122,52984,CWE-775,26,CWE-775,2,8,3,6,6,,,False,fopen,data:1,49,13
BIN_1599779,41847,CWE-526,9,CWE-526,2,9,0,0,1,,,False,staticreturnstrue|getenv|printline,,47,15
BIN_1602140,46746,CWE-680,142,CWE-680,1,17,0,0,0,,,False,globalreturnstrueorfalse|fscanf|malloc|exit|printintline|free,data:0|i:0|intPointer:1,193,51
BIN_1611878,39885,CWE-427,131,CWE-427,1,12,0,0,0,,,False,wcslen|wcsncat,data:1|dataBuffer:0|dataLen:0|environment:1|dataCopy:1|data:1,250,53
BIN_1655785,41744,CWE-510,17,CWE-510,1,10,0,1,2,,,False,globalreturnstrue|memset|strcmp|printline,wsaData:0|wsaDataInit:0|service:0|acceptService:0|acceptServiceLen:0|listenSocket:0|acceptSocket:0,636,133
BIN_1663347,42520,CWE-588,22,CWE-588,2,8,3,3,3,,,True,printintline,,58,16
BIN_1668988,41796,CWE-511,27,CWE-511,1,13,0,0,1,,,False,globalreturnstrue,count:0,65,19
BIN_1670545,39454,CWE-426,45,CWE-426,3,8,0,0,0,,,False,wcscpy,data:1|dataPtr1:1|dataPtr2:1|dataBuffer:0|data:1|data:1|pipe:1,382,63
BIN_1672138,41431,CWE-476,98,CWE-476,1,10,0,0,0,,,True,printlongline,,55,17
BIN_1678289,41320,CWE-476,98,CWE-476,1,15,1,1,1,,,False,printintline,intPointer:1,57,18
BIN_1678676,34987,CWE-377,54,CWE-377,2,6,0,0,1,,,False,mktemp|exit|printline|printline,filename:1|tmpl:0|fileDesc:0,156,40
BIN_1683189,46803,CWE-680,142,CWE-680,1,9,0,0,0,,,False,memset|atoi|malloc|exit|printintline|free,data:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0|inputBuffer:0|dataCopy:0|data:0|i:0|intPointer:1,701,140
BIN_1687186,46020,CWE-617,93,CWE-617,1,7,0,0,0,,,False,staticreturnstrue|rand|rand|rand|rand|rand|rand|rand,data:0,149,45
BIN_1697843,42271,CWE-563,159,CWE-563,1,11,3,5,5,,,False,,data:0,7,5
BIN_1706260,46041,CWE-617,93,CWE-617,1,4,0,0,0,,,True,rand|rand|rand|rand|rand|rand|rand|badsink,data:0,116,37
BIN_1708390,35174,CWE-390,34,CWE-390,2,11,0,1,2,,,False,globalreturnstrue|sqrt|printdoubleline,doubleNumber:0,88,23
BIN_1709610,34989,CWE-377,54,CWE-377,2,8,0,0,0,,,False,mktemp|exit|printline|printline,filename:1|tmpl:0|fileDesc:0,157,40
BIN_1710438,42410,CWE-563,159,CWE-563,3,7,0,0,0,,,False,printstructline,data:0,55,14
BIN_1710461,46881,CWE-680,142,CWE-680,1,8,3,3,3,,,True,memset|atoi|_znay|printintline|_zdapv,,576,117
BIN_1716735,48911,CWE-761,150,CWE-761,1,9,0,0,0,,,False,malloc|exit|strlen|fopen|fgets|printline|fclose|printline|free,data:1|dataPtr1:1|dataPtr2:1|data:1|dataLen:0|pFile:1|data:1,314,87
BIN_1721111,42447,CWE-563,159,CWE-563,1,14,0,1,2,,,False,globalreturnstrue|globalreturnstrue|printf,data:0,63,19
BIN_1727266,41956,CWE-563,159,CWE-563,1,6,0,0,0,,,True,printline,,30,10
BIN_1728524,42382,CWE-563,159,CWE-563,1,12,2,2,2,,,False,printlongline,data:0,39,12
BIN_1735861,42048,CWE-563,159,CWE-563,1,8,0,1,1,,,False,staticreturnstrue,data:0,27,9
BIN_1738348,35986,CWE-400,193,CWE-400,1,8,0,0,0,,,False,memset|atoi|fopen|exit|fwrite|exit|fclose,i:0|j:0|count:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0|inputBuffer:0|i:0|pFile:1|filename:1,801,154
BIN_1738868,42340,CWE-563,159,CWE-563,1,9,0,0,0,,,False,printlonglongline,i:0|j:0|data:0,82,23
BIN_1745934,49037,CWE-761,150,CWE-761,1,10,0,0,1,,,False,malloc|exit|wcslen|memset|wcschr|wcschr|printline|free,data:1|wsaData:0|wsaDataInit:0|recvResult:0|service:0|replace:1|connectSocket:0|dataLen:0,701,144
BIN_1747034,49133,CWE-761,150,CWE-761,2,7,0,0,2,,,False,malloc|exit|wcslen|wcsncat|printline|free,data:1|dataLen:0|environment:1,213,58
BIN_1755530,49251,CWE-761,150,CWE-761,1,10,0,0,0,,,False,malloc|exit|badsource|printline|free,data:1,132,37
BIN_1785166,45308,CWE-606,118,CWE-606,1,14,0,1,1,,,False,strlen|memset|strchr|strchr|sscanf|printintline,data:1|dataBuffer:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|replace:1|connectSocket:0|dataLen:0|i:0|n:0|intVariable:0,811,148
BIN_1791831,39988,CWE-427,131,CWE-427,1,6,0,0,0,,,False,wcslen|memset|wcschr|wcschr,data:1|funcPtr:1|dataBuffer:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|replace:1|listenSocket:0|acceptSocket:0|dataLen:0,795,160
BIN_1792787,42485,CWE-571,8,CWE-571,1,8,0,1,1,,CWE-570@42476,False,globalreturnstrue|printline,,39,13
BIN_1794411,42363,CWE-563,159,CWE-563,1,12,0,1,2,,,False,globalreturnstrue|globalreturnstrue|printintline,data:0,57,18
BIN_1829591,46613,CWE-680,142,CWE-680,1,7,0,0,0,,,True,memset|atoi|malloc|exit|printintline|free,,601,122
BIN_1851561,45414,CWE-606,118,CWE-606,2,8,0,0,0,,,False,badsource|sscanf|printintline,data:1|dataBuffer:0|i:0|n:0|intVariable:0,227,45
BIN_1858414,45653,CWE-606,118,CWE-606,2,8,0,0,0,,,False,wcslen|wcsncat|badsink,data:1|dataBuffer:0|dataLen:0|environment:1,334,59
BIN_1862701,42233,CWE-563,159,CWE-563,3,8,0,0,0,,,True,_zn54cwe563_unused_variable__unused_uninit_variable_long_43l9badsourceerl,,27,10
BIN_1865568,42412,CWE-563,159,CWE-563,1,8,0,0,1,,,False,printstructline,data:0,73,20
BIN_1874258,35706,CWE-400,193,CWE-400,1,11,0,0,0,,,False,fgets|atoi|printline|badsink,count:0|inputBuffer:0,122,32
BIN_1896060,41648,CWE-483,9,CWE-483,1,11,0,0,0,,,False,rand|printline|printline,x:0|y:0,119,35
BIN_1903940,35851,CWE-400,193,CWE-400,1,8,0,0,0,,,False,badsource|fopen|exit|fwrite|exit|fclose,count:0|i:0|pFile:1|filename:1,196,48
BIN_1913775,48794,CWE-761,150,CWE-761,1,7,1,1,1,,,False,malloc|exit|strlen|fgets|strlen|printline|printline|free,data:1|dataLen:0,302,85
BIN_1914743,46129,CWE-665,52,CWE-665,1,9,3,6,6,,,False,memset|strlen|strncat|printline,data:1|dataBuffer:0|sourceLen:0|source:0,127,28
BIN_1915534,45977,CWE-617,93,CWE-617,1,13,0,0,0,,,False,memset|atoi,data:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0|inputBuffer:0,589,119
BIN_1925712,10873,CWE-123,43,CWE-123,1,14,0,2,2,,,False,staticreturnstrue|memset,data:0|head:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|connectSocket:0,510,97
BIN_1927329,47034,CWE-680,142,CWE-680,1,16,0,0,0,,,True,globalreturnstrueorfalse|fscanf|_znay|printintline|_zdapv,,196,53
BIN_1934432,45937,CWE-617,93,CWE-617,2,10,0,0,0,,,False,fscanf,data:0|dataCopy:0|data:0,111,29
BIN_1957041,39019,CWE-416,186,CWE-416,1,11,0,0,0,,,True,_znay|memset|_zdapv|printline,,128,35
BIN_1964676,39111,CWE-416,186,CWE-416,1,14,1,1,1,,,True,_znay|_zdapv|printlongline,,144,38
BIN_1967080,47051,CWE-680,142,CWE-680,1,7,0,0,0,,,True,fscanf|_zn57cwe680_integer_overflow_to_buffer_overflow__new_fscanf_45l7badsinkev,,75,20
BIN_1972380,41085,CWE-467,20,CWE-467,2,13,0,0,0,,,False,staticreturnstrue|malloc|exit|printshortline|free,badShort:1,99,28
BIN_1975687,56003,CWE-843,23,CWE-843,1,12,0,0,0,,,True,printintline,data:1|myUnion:0|charBuffer:0|data:1,64,19
BIN_1980408,48990,CWE-761,150,CWE-761,2,10,0,0,0,,,False,malloc|exit|strlen|memset|strchr|strchr|printline|free,data:1|wsaData:0|wsaDataInit:0|recvResult:0|service:0|replace:1|listenSocket:0|acceptSocket:0|dataLen:0,795,164
BIN_1993210,41286,CWE-476,98,CWE-476,1,8,0,0,0,,,True,printintline|_zdlpvy,,107,31
BIN_1993794,41896,CWE-546,35,CWE-546,1,16,1,1,1,,,False,printline,,30,10
BIN_2000339,41477,CWE-476,98,CWE-476,1,15,1,1,1,,,False,printintline,data:1,62,20
BIN_2003503,10983,CWE-123,43,CWE-123,5,6,0,0,0,,,False,memset,data:0|dataPtr1:1|dataPtr2:1|head:0|data:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0|data:0,720,136
BIN_2013496,41166,CWE-469,19,CWE-469,1,9,1,1,1,,,False,wcschr|exit|printunsignedline,string1:0|string2:0|slashInString1:1|indexOfSlashInString1:0,140,35
BIN_2016151,48899,CWE-761,150,CWE-761,2,11,0,0,0,,,False,malloc|exit|strlen|fopen|fgets|printline|fclose|printline|free,data:1|dataLen:0|pFile:1,276,77
BIN_2021761,35730,CWE-400,193,CWE-400,1,7,0,2,2,,,False,fgets|atoi|printline|printline,count:0|inputBuffer:0,141,36
BIN_2025147,39435,CWE-426,45,CWE-426,1,9,1,2,2,,,False,wcscpy,data:1|dataBuffer:0|pipe:1,303,50
BIN_2044359,45691,CWE-606,118,CWE-606,1,12,0,1,1,,,False,wcslen|fopen|fgetws|printline|fclose|swscanf|printintline,data:1|dataBuffer:0|dataLen:0|pFile:1|i:0|n:0|intVariable:0,535,97
BIN_2050995,35385,CWE-398,84,CWE-398,2,11,0,0,0,,,False,printline,i:0,59,18
BIN_2055913,31024,CWE-242,8,CWE-242,2,10,0,0,0,,,False,gets|printline|exit|printline,dest:0|result:1,93,26
BIN_2065268,35404,CWE-398,84,CWE-398,1,15,0,1,1,,,False,rand|printline|printline,x:0,106,33
BIN_2066009,42160,CWE-563,159,CWE-563,1,11,1,7,7,,,False,,data:0,7,5
BIN_2069110,46931,CWE-680,142,CWE-680,3,7,0,0,0,,,True,fgets|atoi|printline|_znay|printintline|_zdapv,,239,63
BIN_2073301,32173,CWE-367,18,CWE-367,2,11,0,0,0,,,False,fgets|printline|strlen|exit|exit|exit,filename:0|fileDesc:0,379,84
BIN_2083628,46847,CWE-680,142,CWE-680,1,14,0,0,0,,,False,rand|rand|rand|rand|rand|rand|rand|malloc|exit|printintline|free,i:0|data:0|i:0|intPointer:1,235,68
BIN_2100882,47122,CWE-680,142,CWE-680,1,11,3,3,3,,,True,rand|rand|rand|rand|rand|rand|rand|_znay|printintline|_zdapv,,214,63
BIN_2104750,39443,CWE-426,45,CWE-426,1,11,0,1,2,,,False,globalreturnstrue|wcscpy,data:1|dataBuffer:0|pipe:1,312,53
BIN_2106997,41087,CWE-467,20,CWE-467,2,12,0,0,0,,,False,malloc|exit|printshortline|free,badShort:1,103,29
BIN_2107747,35895,CWE-400,193,CWE-400,1,10,0,0,0,,,False,fscanf|printline,count:0|countPtr1:1|countPtr2:1|count:0|count:0,133,37
BIN_2112774,31028,CWE-242,8,CWE-242,1,8,0,0,0,,,False,gets|printline|exit|printline,j:0|dest:0|result:1,99,28
BIN_2112996,42195,CWE-563,159,CWE-563,2,11,0,1,1,,,False,globalreturnstrue,data:0,20,8
BIN_2126504,35333,CWE-398,84,CWE-398,2,14,0,0,0,,,False,printline,,41,13
BIN_2135868,31018,CWE-242,8,CWE-242,1,10,0,0,0,,,False,gets|printline|exit|printline,dest:0|result:1,90,25
BIN_2140491,38905,CWE-416,186,CWE-416,1,11,0,0,0,,,False,malloc|exit|free|printlonglongline,data:1|i:0,149,38
BIN_2144946,38972,CWE-416,186,CWE-416,2,14,0,0,0,,,False,malloc|exit|free|printstructline,data:1|i:0,173,42
BIN_2148271,39101,CWE-416,186,CWE-416,2,14,1,1,1,,,True,_znay|_zdapv|printlongline,,116,30
BIN_2156270,49244,CWE-761,150,CWE-761,2,16,0,0,0,,,False,malloc|exit|wcscpy|badsink,data:1,96,24
BIN_2157379,42000,CWE-563,159,CWE-563,1,10,0,0,0,,,False,,j:0|data:0,43,14
BIN_2157440,45555,CWE-606,118,CWE-606,2,8,0,0,0,,,True,wcslen|memset|wcschr|wcschr|swscanf|printintline,,1004,172
BIN_2173405,45502,CWE-606,118,CWE-606,1,14,0,1,1,,,False,strlen|memset|strchr|strchr|sscanf|printintline,data:1|dataBuffer:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|replace:1|listenSocket:0|acceptSocket:0|dataLen:0|i:0|n:0|intVariable:0,926,171
BIN_2173704,39543,CWE-427,131,CWE-427,1,16,0,2,2,,,False,strlen|memset|strchr|strchr,data:1|dataBuffer:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|replace:1|connectSocket:0|dataLen:0,946,153
BIN_2180896,47229,CWE-685,8,CWE-685,1,10,0,0,0,,,False,sprintf|printline,dest:0,75,20
BIN_2185151,56002,CWE-843,23,CWE-843,1,13,0,0,0,,,True,printintline,,67,20
BIN_2203214,46439,CWE-675,31,CWE-675,1,13,0,1,2,,,False,globalreturnstrue|fopen|fclose|globalreturnstrue|fclose,data:1,91,25
BIN_2211287,32114,CWE-364,7,CWE-364,1,10,0,0,0,,,True,signal|free|malloc|exit|signal|free,gStructSigAtomic:1,203,43
BIN_2214308,47047,CWE-680,142,CWE-680,1,10,0,0,0,,,True,fscanf|_zn57cwe680_integer_overflow_to_buffer_overflow__new_fscanf_417badsinkei,,71,20
BIN_2218166,36173,CWE-400,193,CWE-400,1,9,0,0,0,,,False,globalreturnstrueorfalse|rand|rand|rand|rand|rand|rand|rand|globalreturnstrueorfalse|printline|printline|printline,count:0,221,65
BIN_2223041,41576,CWE-479,10,CWE-479,1,8,0,1,1,,,False,signal,,45,14
BIN_2231571,49196,CWE-761,150,CWE-761,1,12,0,0,0,,,False,malloc|exit|wcslen|fopen|fgetws|printline|fclose|badsink,data:1|dataLen:0|pFile:1,243,62
BIN_2235815,41417,CWE-476,98,CWE-476,2,12,0,0,0,,,False,printlongline,data:1,62,20
BIN_2242914,46785,CWE-680,142,CWE-680,1,6,0,0,0,,,False,memset|atoi|malloc|exit|printintline|free,data:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|listenSocket:0|acceptSocket:0|inputBuffer:0|i:0|intPointer:1,677,136
BIN_2266130,56046,CWE-843,23,CWE-843,2,6,0,0,0,,,True,badsink,data:1|shortBuffer:0,53,14
BIN_2268672,35348,CWE-398,84,CWE-398,1,15,0,0,1,,,False,rand|printline,x:0,88,29
BIN_2272470,42214,CWE-563,159,CWE-563,1,10,4,8,8,,,False,,data:0,7,5
BIN_2276754,35434,CWE-398,84,CWE-398,1,13,0,0,0,,,False,printline,j:0|i:0,72,23
BIN_2276936,39453,CWE-426,45,CWE-426,2,8,0,0,0,,,False,wcscpy,data:1|dataBuffer:0|dataCopy:1|data:1|pipe:1,334,54
BIN_2280047,35269,CWE-396,25,CWE-396,1,15,2,2,2,,,True,rand|__cxa_allocate_exception|_znst12out_of_rangec1epkc|__cxa_throw|rand|__cxa_allocate_exception|_znst12domain_errorc1epkc|__cxa_throw|printline|__cxa_free_exception|__cxa_free_exception|_unwind_resume|__cxa_begin_catch|printline|__cxa_end_catch|__cxa_end_catch|_unwind_resume,,306,87
BIN_2280331,46576,CWE-676,9,CWE-676,1,8,2,2,2,,,True,.text$_zstrsicst11char_traitsiceerst13basic_istreamit_t0_es6_ps3_|_zstrsicst11char_traitsiceerst13basic_istreamit_t0_es6_ps3_|printline,,50,15
BIN_2298632,41054,CWE-467,20,CWE-467,1,18,1,1,1,,,False,malloc|exit|printhexcharline|free,badChar:1,104,29
