time,run_id,model,features,seed,local_score,public_score,submission,notes
2026-05-02 13:53:00,torch_hybrid_boundary_ensemble3_v1,torch_hybrid_char_word_boundary_ensemble,"three full-data hybrid char+word boundary models with seeds 42/43/44; averaged line/start/end log probabilities",42+43+44,,,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_torch_hybrid_boundary_ensemble3.csv,"test anomaly ratio=0.6428; changed 793 rows vs boundary_ensemble3"
2026-05-02 14:05:00,torch_mixed_boundary_40_60_bw1p5_v1,torch_mixed_boundary_ensemble,"blend 3 proven word-boundary models at 40% with 3 hybrid char+word boundary models at 60%; decode_boundary_weight=1.5",42+43+44,0.9835013191,,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_torch_mixed_boundary_40_60_bw1p5.csv,"recommended next submission; holdout proxy from seed42 blend detect=0.9994906482 loc=0.9671554437 type=1.0000000000; test anomaly ratio=0.6428; changed 603 rows vs public 0.93531 baseline"
2026-05-02 14:08:00,torch_mixed_boundary_40_60_bw1p5_thr2_v1,torch_mixed_boundary_ensemble,"same 40/60 mixed model family with threshold=2.0 and decode_boundary_weight=1.5",42+43+44,0.9835013191,,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_torch_mixed_boundary_40_60_bw1p5_thr2.csv,"more conservative alternate; test anomaly ratio=0.6424; differs from non-thr2 in only 2 detection rows"
2026-05-02 14:35:00,torch_mixed_boundary_40_60_bw1p5_lenprior0p6_v1,torch_mixed_boundary_ensemble,"40/60 mixed model with decode_boundary_weight=1.5 and type-specific span length prior weight=0.6",42+43+44,0.9835532291,,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_torch_mixed_boundary_40_60_bw1p5_lenprior0p6.csv,"holdout proxy at same settings; test anomaly ratio=0.6426; changed 858 rows vs public 0.93531 baseline"
2026-05-02 14:38:00,torch_mixed_boundary_40_60_bw1p5_lenprior1_v1,torch_mixed_boundary_ensemble,"40/60 mixed model with decode_boundary_weight=1.5 and type-specific span length prior weight=1.0",42+43+44,0.9835595645,,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_torch_mixed_boundary_40_60_bw1p5_lenprior1.csv,"higher-risk length-prior submission; test anomaly ratio=0.6426; changed 990 rows vs public 0.93531 baseline"
2026-05-02 14:40:00,torch_mixed_boundary_40_60_bw1p5_thr2_lenprior1_v1,torch_mixed_boundary_ensemble,"same length-prior=1.0 mixed model with threshold=2.0",42+43+44,0.9839092054,,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_torch_mixed_boundary_40_60_bw1p5_thr2_lenprior1.csv,"best holdout proxy; more conservative test anomaly ratio=0.6422; changed 990 rows vs public 0.93531 baseline"
2026-05-02 16:00:00,short_s1_public,torch_mixed_boundary_ensemble,"short filename copy of 40/60 mixed model with decode_boundary_weight=1.5",42+43+44,,0.94666,work/data_security/system_log_anomaly_detection_challenge/submissions/s1.csv,"submitted public score; test anomaly ratio=0.6428"
2026-05-02 17:25:00,torch_span_ranker_full_v1,torch_span_ranker,"candidate span ranker trained from six-model mixed outputs; HGB + ExtraTrees regress IoU target; force test anomaly count to 3214",42,0.9864332900,0.96187,work/data_security/system_log_anomaly_detection_challenge/submissions/final.csv,"submitted public score; holdout proxy from analogous fit/valid ranker detect=0.9979634314 loc=0.9734775506 type=1.0000000000; same anomaly count as s1; changed 1412 rows vs s1, type only 1 row"
2026-05-02 23:10:00,torch_span_ranker_count3210_v2,torch_span_ranker,"same span ranker as final.csv; force test anomaly count to 3210 by removing four lowest-confidence predicted anomalies",42,0.9864332900,0.96208,work/data_security/system_log_anomaly_detection_challenge/submissions/next.csv,"submitted public score; validation best count was 4 below full anomaly count; next.csv differs from final.csv only by 4 detection rows"
2026-05-03 01:27:00,torch_span_ranker_top8_count_sweep,torch_span_ranker,"top_per_label=8 candidate span ranker; generated fine count variants 3204-3212",42,0.9863143504,,work/data_security/system_log_anomaly_detection_challenge/submissions/t8_3206.csv,"holdout top8 improved over original in earlier lower-count sweep, but later broader sweep found top16 stronger; t8_3206 differs from next.csv by 143 rows"
2026-05-03 02:22:00,torch_span_ranker_top16_holdout_sweep,torch_span_ranker,"holdout sweep over top_per_label=5/8/10/12/16 using boundary+hybrid holdout models",42,0.9865936244,,work/data_security/system_log_anomaly_detection_challenge/logs/span_ranker_top_sweep.json,"best config top_per_label=16 count=1130; score components detect=0.9969459774 loc=0.9741034555 type=1.0"
2026-05-03 02:46:00,torch_span_ranker_top16_count3210,torch_span_ranker,"full six-model top16 span ranker; preserve next.csv anomaly set at force-count 3210",42,0.9865936244,,work/data_security/system_log_anomaly_detection_challenge/submissions/try.csv,"current recommended next submission; try.csv equals t16_c3210.csv; same 3210 anomaly ids as next.csv, changes 159 spans and 1 type"
2026-05-03 02:47:00,torch_span_ranker_top16_count3206_risk,torch_span_ranker,"full six-model top16 span ranker; lower force-count to 3206",42,0.9864920071,,work/data_security/system_log_anomaly_detection_challenge/submissions/risk.csv,"higher-risk alternate; risk.csv equals t16.csv; removes four more low-confidence anomalies vs next.csv and changes 161 rows total"
2026-05-03 09:10:00,torch_span_ranker_top16_count3210_public,torch_span_ranker,"public feedback for top16 candidate",42,0.9865936244,0.96153,work/data_security/system_log_anomaly_detection_challenge/submissions/try.csv,"submitted public score; top16 boundary rerank overfit public and is no longer recommended"
2026-05-03 10:10:00,torch_boundary_full_seed45,torch_bigru_boundary,"additional full-data boundary model seed45",45,,,work/data_security/system_log_anomaly_detection_challenge/models/torch_boundary_full_seed45_model.pt,"training completed; final epoch loss=0.1621954047; used in b4h3 seven-model ranker"
2026-05-03 11:05:00,torch_span_ranker_b4h3_count3210,torch_span_ranker,"seven-model ranker using 4 boundary seeds and 3 hybrid seeds; force-count 3210",42,,,work/data_security/system_log_anomaly_detection_challenge/submissions/b4h3.csv,"not directly recommended; differs from next.csv by 138 rows, including 2 flag and 3 type changes"
2026-05-03 11:20:00,torch_span_ranker_b4h3_gated_mid,torch_span_ranker,"next.csv anchor plus b4h3 boundary changes only when b4h3 confidence exceeds next by >0.008 and flag/type unchanged",42,,,work/data_security/system_log_anomaly_detection_challenge/submissions/mid.csv,"43 gated boundary changes; count remains 3210"
2026-05-03 11:25:00,torch_span_ranker_b4h3_gated_push,torch_span_ranker,"mid.csv plus two lowest-confidence next anomalies removed",42,,0.96233,work/data_security/system_log_anomaly_detection_challenge/submissions/push.csv,"submitted public score; anomaly count=3208; differs from next.csv by 45 rows: 43 boundary changes and 2 abstains"
2026-05-03 13:40:00,torch_boundary_full_seed46,torch_bigru_boundary,"additional full-data boundary model seed46",46,,,work/data_security/system_log_anomaly_detection_challenge/models/torch_boundary_full_seed46_model.pt,"training completed; final epoch loss=0.1613188516; used in b5h3 eight-model ranker"
2026-05-03 14:25:00,torch_span_ranker_b5h3_count3210,torch_span_ranker,"eight-model ranker using 5 boundary seeds and 3 hybrid seeds; force-count 3210",42,,,work/data_security/system_log_anomaly_detection_challenge/submissions/b5h3.csv,"not directly recommended; differs from next.csv by 157 rows and from push.csv by 145 rows"
2026-05-03 14:40:00,torch_span_ranker_push_p2,torch_span_ranker,"push.csv plus seven additional low-threshold b4h3 gated boundary changes",42,,,work/data_security/system_log_anomaly_detection_challenge/submissions/p2.csv,"more aggressive candidate; differs from push.csv by 7 rows, including 4 shrink and 3 expansion changes"
2026-05-03 14:45:00,torch_span_ranker_push_up,torch_span_ranker,"push.csv plus only the four shrink-type additions from p2.csv",42,,,work/data_security/system_log_anomaly_detection_challenge/submissions/up.csv,"current recommended sprint submission; anomaly count=3208; differs from push.csv by 4 rows and avoids new expansion changes"
2026-05-03 14:50:00,torch_span_ranker_push_trim,torch_span_ranker,"push.csv with four low-delta expansion changes reverted to next.csv",42,,,work/data_security/system_log_anomaly_detection_challenge/submissions/trim.csv,"conservative diagnostic candidate; anomaly count=3208; differs from push.csv by 4 rows"
2026-05-03 14:55:00,torch_span_ranker_push_best_combo,torch_span_ranker,"trim.csv plus the four shrink-type additions from p2.csv",42,,,work/data_security/system_log_anomaly_detection_challenge/submissions/best.csv,"structured combo candidate; anomaly count=3208; differs from push.csv by 8 rows"
2026-05-03 15:05:00,torch_span_ranker_push_up_public,torch_span_ranker,"public feedback for push plus four shrink extras",42,,0.96229,work/data_security/system_log_anomaly_detection_challenge/submissions/up.csv,"submitted public score; lower than push.csv=0.96233, so shrink-only extras are no longer recommended"
2026-05-03 15:20:00,torch_span_ranker_text_features_full,torch_span_ranker,"seven-model text-feature span ranker; adds weak-boundary and semantic-neighbor features",42,,,work/data_security/system_log_anomaly_detection_challenge/submissions/txt.csv,"not directly recommended; anomaly count=3208 but differs from push.csv by 159 rows, similar risk profile to failed broad rerank"
2026-05-03 15:35:00,meta_boundary_gate_clean,meta_boundary_gate,"push.csv anchored meta gate over txt/b4h3/b5h3/next disagreements; filters by confidence delta, model agreement, training boundary-template evidence; excludes up.csv bad ids",42,,,work/data_security/system_log_anomaly_detection_challenge/submissions/go.csv,"current recommended candidate; go.csv equals mc8.csv, anomaly count=3208, differs from push.csv by 8 boundary rows only"
